uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
99548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102642,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
103498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104684,0,0,0,0,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
105070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105346,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
105566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105742,0,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105948,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
105964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106060,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106069,0.06666666666666667,0,0.13333333333333333,0,0,0,0,0.06666666666666667,0.6,0,0.06666666666666667,0,0,0,0,0.06666666666666667,0,0,0,0
106085,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0
106150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106359,0,0.038461538461538464,0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0,0.23076923076923078,0.07692307692307693,0.11538461538461539,0,0.11538461538461539,0.2692307692307692,0,0,0,0,0,0,0
106441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106596,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
